"Cleaned_value ( ""Value"" column of the OLIS observation is cleaned)",counts,Flag,name,Overall counts: 687707,% missingness over all in all columns) :  79%
critical results phoned to and read back by bobbak 4paeds time and date by jajn mclay,1,Unknown,,,
critical results phoned to and read back by sa18chris time and date by peter nueve,1,Unknown,,,
phoned to icp csm name emailed @ phoned to patient location name jbrown05s,1,Unknown,,,
duplicate sample please refer to order number for,1,Unknown,,,
phoned to icp csm name email sent phoned to patient location name kkennedy01s,1,Unknown,,,
not tested duplicate order please refer to specimen collected on the same day,1,Unknown,,,
results called by thiruvarangan chandrasekaram at results called to dave wilson er rn read back y,1,Unknown,,,
cancelled see scanned report,1,Unknown,,,
refer to order for covid and fluab results,1,Unknown,,,
critical results phoned to and read back by lemlem time and date by bhavisha shingala mlt,1,Unknown,,,
not received in microbiology lab please refer to laboratory number collected,1,Unknown,,,
not tested endotracheal tube aspirate is an unsuitable sample type and would not be tested,1,Unknown,,,
phoned to icp csm name email sent phoned to patient location name awilla01s,1,Unknown,,,
parainfl 1 2 3 4multiplex not detected,1,Unknown,,,
infl a h3 multiplex naat not detected,1,Unknown,,,
done,1,Unknown,,,
duplicate specimen received hence not processed please refer to order number for influenza results,1,Unknown,,,
rhinovirus by multiplex naat detected,1,Unknown,,,
cancelled collected with wrong swab,1,Unknown,,,
critical results phoned to and read back by paula 13wmed time and date by chantal morris,1,Unknown,,,
critical results phoned to and read back by ozb stephenie time and date by peter nueve,1,Unknown,,,
verbal report given to gurpinder by sarish asad mlt,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name hsmyth01s,1,Unknown,,,
please note sample rejected wrong swab used for collection,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name kkennedy02s,1,Unknown,,,
critical results phoned to and read back by lawrance ac,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name jross01s,1,Unknown,,,
critical results phoned to and read back by er angis time and date by peter nueve,1,Unknown,,,
test not performed on asymptomatic patient,1,Unknown,,,
critical results phoned to and read back by irene rn wrdu time and date by abigail bu ot,1,Unknown,,,
this procedure will not detect all cases of influenza a or b please order and submit a nasopharyngeal swap for respiratory pcr if required,1,Unknown,,,
test not perform on an asymptomatic patient,1,Unknown,,,
critical results phoned to jen rn wer ac time and date by abigail bu ot,1,Unknown,,,
inhibited,1,Unknown,,,
cancelled sample routine respiratory virus testing is not available for ambularotry non hospitalized emergency room er patients for more information refer to pho s labstract respiratory viral testing algorithm update available at www publichealthontario ca labs,1,Unknown,,,
verbal report given to sabra rn w13emed by sadig mohamed,1,Unknown,,,
duplicate order in soarian please refer influenza a b result to order number,1,Unknown,,,
duplicate specimen please refer to order for,1,Unknown,,,
influenza a by rrt pcr nt,1,Unknown,,,
not tested due to laboratory error the sample cannot be found and testing is unable to be completed please resubmit another sample if testing is still required,1,Unknown,,,
critical results phoned to and read back by gurpinder 4paed,1,Unknown,,,
critical results phoned to and read back by angela sa,1,Unknown,,,
results called by meaghen at copy given to clinic and faxed to nwhu,1,Unknown,,,
critical results phoned to and read back by tenzin,1,Unknown,,,
critical results phoned to and read back by mina rn 7e time and date by abigail bu ot,1,Unknown,,,
phoned to icp csm name tspitet01s phoned to patient location name lbraceland01s,1,Unknown,,,
critical results phoned to and read back by jenny time and date by peter nueve,1,Unknown,,,
phoned to icp csm name kharlto01s phoned to patient location name kostre01s,1,Unknown,,,
results called by meaghen at results called to andrea read back y copy to infection control faxed to nwhu,1,Unknown,,,
cancelled routine seasonal respiratory virus testing for adult emergency er patients and ambulatory patients of all ages please refer to pho s respiratory viruses test information sheet at www publichealthontario ca labs,1,Unknown,,,
refer to order s822for covid 19 and flu a b results,1,Unknown,,,
verbal report given to doria rn w07wcard by sadig mohamed,1,Unknown,,,
results called by meaghen at results called to nicole read back y left msg for infection control faxed to nwhu,1,Unknown,,,
critical results phoned to and read back by w09e rn yurlin time and date by kathy le mlt,1,Unknown,,,
phoned to icp csm name email sent at phoned to patient location name aparker01s,1,Unknown,,,
critical results phoned to and read back by n a time and date by moneyram lakhan,1,Unknown,,,
recollect if clinically indicated,1,Unknown,,,
phoned to icp csm name emailed @ phoned to patient location name lzeleny01s,1,Unknown,,,
performed,1,Unknown,,,
duplicate order in soarian please refer to covid flu for result,1,Unknown,,,
test has been cancelled not performed on outpatients see report scanned in emr final result available under laboratory miscellaneous,1,Unknown,,,
critical results phoned to and read back by andrea ac07 time and date by jajn mclay,1,Unknown,,,
results called by peter mayberry at results called to vovisa s rn read back y a copy of this report has been sent to the medical officer of health kenora northwestern health unit,1,Unknown,,,
please refer to specimen collected,1,Unknown,,,
cancelled sample routine respiratory virus testing is not available for ambulatory and non hospitalized emergency room patients for more information refer to pho s labstaract respiratory viral testing algorithm update available at www publichealthontario ca labs,1,Unknown,,,
cancelled specimen collected in blue amies transport medium please reorder and recollect if required in respiratory viral transport medium results called to rnwelkat1 patient care area er by lapeaang1 at on,1,Unknown,,,
critical results phoned to and read back by ainslie oz,1,Unknown,,,
critical results phoned to and read back by lisy wrdu time and date by jajn mclay,1,Unknown,,,
phoned to icp csm name sent email phoned to patient location name sconn01s,1,Unknown,,,
critical results phoned to and read back by amalia sa,1,Unknown,,,
final ph report faxed to ordering health care provider final ph report to follow in olis 20 brought to ia but patient discharged back home at queensway place sarah rancourt rn was going to contact phyllis paradis re diagnosis report also faxed to family dr knox monique lacasse healthcare providers can currently access olis via neon meditech emr an ontariomd certified emr or the connectingontario solution for the purposes of clinical care organizations that do not qualify for any of these channels may qualify for olis access via our web application ehealth services https www ehealthontario ca portal server pt community ho me,1,Unknown,,,
verbal report given to maria paeds 4w by vincenzina portelli,1,Unknown,,,
phoned to icp csm name charlto01s phoned to patient location name mdourado01s,1,Unknown,,,
duplicate specimen received hence not processed refer to,1,Unknown,,,
verbal report given to kelly by sarish asad mlt,1,Unknown,,,
sent to phl for confirmation,1,Unknown,,,
critical results phoned to and read back by joscintha 6wicu time and date by chantal morris,1,Unknown,,,
collection swab used is expired unable to perform test,1,Unknown,,,
sample went straight to phl for testing and will not be tested in sgh for pcr please see 20 104 for detailed result,1,Unknown,,,
critical results phoned to and read back by vivian 7ecard time and date by jajn mclay,1,Unknown,,,
